"51638";"10150"
"51419";"71190"
"52645";"73110"
"51251";"10140"
"51374";"36000"
"51416";"10140"
"52586";"75110"
"59680";"21110"
"51317";"10170"
"51995";"21150"
"52721";"10130"
"54859";"10250"
"51755";"10700"
"55655";"10280"
"53065";"10150"
"55939";"10150"
"58791";"10280"
"56283";"10150"
"59989";"10160"
"51249";"10120"
"50556";"10140"
"57355";"10150"
"56159";"10600"
"59072";"10160"
"54049";"73210"
"57551";"10150"
"59745";"62000"
"58298";"83000"
"51687";"10310"
"52020";"10110"
"53378";"10150"
"50073";"10210"
"55876";"94000"
"55451";"12130"
"58581";"94000"
"58743";"71110"
"50997";"10140"
"58683";"10140"
"58868";"11000"
"50885";"10600"
"57715";"10170"
"57863";"10120"
"56490";"10140"
"53047";"10270"
"53543";"10150"
"56951";"45220"
"53503";"62000"
"59808";"62000"
"59189";"10150"
"51790";"10300"
"53946";"10160"
"51462";"11110"
"50380";"11110"
"57680";"10600"
"52417";"12000"
"50540";"73220"
"52166";"10150"
"57234";"74110"
"58525";"62120"
"56112";"10150"
"51887";"10150"
"54197";"74000"
"52008";"10700"
"59238";"10160"
"54779";"10520"
"54424";"10150"
"56108";"81110"
"56069";"10210"
"55385";"10700"
"55511";"14110"
"50877";"10140"
"54277";"73220"
"51502";"12130"
"56463";"10150"
"54765";"10700"
"54656";"10150"
"51604";"10150"
"54696";"20140"
"50412";"10240"
"59206";"70000"
"50357";"20000"
"58957";"75120"
"59316";"20000"
"51986";"92190"
"57275";"36120"
"59774";"10800"
"51083";"10170"
"54173";"10160"
"53422";"10310"
"52921";"10150"
"58841";"47260"
"52776";"30330"
"58476";"10140"
"51904";"11130"
"54720";"21110"
"59636";"20130"
"59948";"70120"
"57759";"74000"
